Informações Básicas,1
Descrição da necessidade,2
Área Requisitante,teste
Descrição dos Requisitos da Contratação,Não Constar Informação
Levantamento de Mercado,5
Descrição da solução como um todo,6
Estimativa das Quantidades a serem contratadas,TESTE
Estimativa do Valor da Contratação,"R$ 234.234,00"
Justificativa para o Parcelamento ou não da Solução,Deus é fiel.
Contratações Correlatas e/ou Interdependentes,644 sdfgsdf 3456345 34534df
Alinhamento entre a Contratação e o Planejamento,34543dgfdg
Benefícios a serem alcançados com a contratação,34534fdtr
Providências a serem adotadas,"R$ 575.4554,00"
Possíveis Impactos Ambientais,14345
Declaração de Viabilidade,JOrge
Responsáveis,16
