Informações Básicas,ok
Descrição da Necessidade,Não Constar Informação
Área Requisitante,oi
Necessidades de Negócio,Não Constar Informação
Necessidades Tecnológicas,Não Constar Informação
Demais Requisitos Necessários e Suficientes à Escolha da Solução de TIC,Não Constar Informação
Estimativa da Demanda - Quantidade de Bens e Serviço,Não Constar Informação
Levantamento de Soluções,23
Análise Comparativa de Soluções,oioioioio
Descrição da Solução de TIC a Ser Contratada,12 ag
Estimativa de Custo Total da Contratação,"R$ 223,00"
Justificativa Técnica da Escolha da Solução,14 agora
Justificativa Econômica da Escolha da Solução,Não Constar Informação
Benefícios a Serem Alcançados com a Contratação,3434
Providências a Serem Adotadas,oioioi
Declaração de Viabilidade,ok
Responsáveis,ok
