Informações Básicas, 
Descrição da necessidade, teste....
Área Requisitante, 
Descrição dos Requisitos da Contratação, 
Levantamento de Mercado, 
Descrição da solução como um todo, 
Estimativa das Quantidades a serem contratadas, 
Estimativa do Valor da Contratação, 
Justificativa para o Parcelamento ou não da Solução, 
Contratações Correlatas e/ou Interdependentes, 
Alinhamento entre a Contratação e o Planejamento, 
Benefícios a serem alcançados com a contratação, 
Providências a serem adotadas, 
Possíveis Impactos Ambientais, 
Declaração de Viabilidade, 
Responsáveis, 
