Informações Básicas,123
Descrição da necessidade,555
Área Requisitante,Maiara eu te amo
Descrição dos Requisitos da Contratação,trwetert
Levantamento de Mercado,Deus é muitissímo grande
Descrição da solução como um todo,Não Constar Informação
Estimativa das Quantidades a serem contratadas,COM CRISTO É VENCER OU VENCER
Estimativa do Valor da Contratação,"R$ 554.000,00"
Justificativa para o Parcelamento ou não da Solução,EU SO FELIZ COM JESUS
Contratações Correlatas e/ou Interdependentes,Não importa sua aflição Deus sempre dará a solução para seu problema.
Alinhamento entre a Contratação e o Planejamento,Não Constar Informação
Benefícios a serem alcançados com a contratação,Não Constar Informação
Providências a serem adotadas,Não Constar Informação
Possíveis Impactos Ambientais,Não Constar Informação
Declaração de Viabilidade,GLÓRIA SEJA DADA A DEUS POR TUDO 
Responsáveis,Não há Deus como nosso Deus
