Informações Básicas,Deus é fiel
Descrição da necessidade,Não importa seu temor
Área Requisitante,Não Constar Informação
Descrição dos Requisitos da Contratação,Não Constar Informação
Levantamento de Mercado,Não Constar Informação
Descrição da solução como um todo,Não Constar Informação
Estimativa das Quantidades a serem contratadas,Não Constar Informação
Estimativa do Valor da Contratação,Não Constar Informação
Justificativa para o Parcelamento ou não da Solução,Não Constar Informação
Contratações Correlatas e/ou Interdependentes,Não Constar Informação
Alinhamento entre a Contratação e o Planejamento,Não Constar Informação
Benefícios a serem alcançados com a contratação,Não Constar Informação
Providências a serem adotadas,Não Constar Informação
Possíveis Impactos Ambientais,222
Declaração de Viabilidade,4433
Responsáveis,teste555gfhgfh
